map,agent_a,agent_b,pair_picks,teams_count,pair_pick_rate,agent_a_rate,agent_b_rate,synergy_lift,sample_reliability_score,pair_pattern_label
BREEZE,harbor,iso,3,3,0.0625,0.3333,0.0625,3.0,0.2611,high_lift_low_sample
BREEZE,chamber,omen,3,3,0.0625,0.0833,0.3542,2.118,0.2611,high_lift_low_sample
BREEZE,astra,waylay,8,3,0.1667,0.3958,0.2083,2.022,0.4264,map_pair
BREEZE,omen,skye,5,3,0.1042,0.3542,0.1458,2.017,0.3371,high_lift_low_sample
BREEZE,chamber,neon,4,4,0.0833,0.0833,0.625,1.601,0.3015,map_pair
BREEZE,neon,skye,7,3,0.1458,0.625,0.1458,1.6,0.3989,map_pair
BREEZE,iso,neon,3,3,0.0625,0.0625,0.625,1.6,0.2611,map_pair
BREEZE,jett,kayo,14,11,0.2917,0.5,0.3958,1.474,0.5641,map_pair
BREEZE,neon,waylay,9,3,0.1875,0.625,0.2083,1.44,0.4523,map_pair
BREEZE,harbor,kayo,8,7,0.1667,0.3333,0.3958,1.263,0.4264,weak_signal
BREEZE,chamber,viper,4,4,0.0833,0.0833,0.875,1.143,0.3015,weak_signal
BREEZE,phoenix,sova,4,2,0.0833,0.0833,0.875,1.143,0.3015,weak_signal
BREEZE,phoenix,viper,4,2,0.0833,0.0833,0.875,1.143,0.3015,weak_signal
BREEZE,iso,sova,3,3,0.0625,0.0625,0.875,1.143,0.2611,weak_signal
BREEZE,iso,viper,3,3,0.0625,0.0625,0.875,1.143,0.2611,weak_signal
BREEZE,astra,kayo,8,6,0.1667,0.3958,0.3958,1.064,0.4264,weak_signal
BREEZE,jett,omen,9,6,0.1875,0.5,0.3542,1.059,0.4523,weak_signal
BREEZE,neon,omen,11,10,0.2292,0.625,0.3542,1.035,0.5,weak_signal
BREEZE,kayo,sova,16,14,0.3333,0.3958,0.875,0.962,0.603,weak_signal
BREEZE,jett,sova,20,16,0.4167,0.5,0.875,0.952,0.6742,common_core_pair
BREEZE,astra,jett,9,7,0.1875,0.3958,0.5,0.947,0.4523,weak_signal
BREEZE,harbor,neon,9,7,0.1875,0.3333,0.625,0.9,0.4523,weak_signal
BREEZE,harbor,jett,7,5,0.1458,0.3333,0.5,0.875,0.3989,weak_signal
BREEZE,omen,viper,13,11,0.2708,0.3542,0.875,0.874,0.5436,weak_signal
BREEZE,jett,viper,18,14,0.375,0.5,0.875,0.857,0.6396,common_core_pair
BREEZE,harbor,sova,12,12,0.25,0.3333,0.875,0.857,0.5222,weak_signal
BREEZE,chamber,sova,3,3,0.0625,0.0833,0.875,0.857,0.2611,weak_signal
BREEZE,kayo,viper,14,12,0.2917,0.3958,0.875,0.842,0.5641,weak_signal
BREEZE,omen,sova,12,10,0.25,0.3542,0.875,0.807,0.5222,weak_signal
BREEZE,neon,viper,21,18,0.4375,0.625,0.875,0.8,0.6908,common_core_pair
BREEZE,harbor,viper,11,10,0.2292,0.3333,0.875,0.786,0.5,weak_signal
BREEZE,astra,neon,9,5,0.1875,0.3958,0.625,0.758,0.4523,weak_signal
BREEZE,neon,sova,18,18,0.375,0.625,0.875,0.686,0.6396,common_core_pair
BREEZE,viper,waylay,6,3,0.125,0.875,0.2083,0.686,0.3693,weak_signal
BREEZE,astra,sova,11,10,0.2292,0.3958,0.875,0.662,0.5,weak_signal
BREEZE,sova,viper,24,26,0.5,0.875,0.875,0.653,0.7385,common_core_pair
BREEZE,skye,viper,4,3,0.0833,0.1458,0.875,0.653,0.3015,weak_signal
BREEZE,astra,viper,9,8,0.1875,0.3958,0.875,0.541,0.4523,weak_signal
BREEZE,sova,waylay,4,2,0.0833,0.875,0.2083,0.457,0.3015,weak_signal
BREEZE,jett,neon,6,5,0.125,0.5,0.625,0.4,0.3693,common_core_pair
BREEZE,kayo,neon,4,3,0.0833,0.3958,0.625,0.337,0.3015,weak_signal
FRACTURE,astra,waylay,4,2,0.0741,0.0926,0.537,1.49,0.3015,weak_signal
FRACTURE,astra,tejo,3,2,0.0556,0.0926,0.4074,1.473,0.2611,weak_signal
FRACTURE,skye,veto,5,4,0.0926,0.3889,0.1667,1.428,0.3371,map_pair
FRACTURE,breach,veto,5,3,0.0926,0.4259,0.1667,1.304,0.3371,map_pair
FRACTURE,breach,tejo,11,9,0.2037,0.4259,0.4074,1.174,0.5,common_core_pair
FRACTURE,breach,raze,5,5,0.0926,0.4259,0.1852,1.174,0.3371,weak_signal
FRACTURE,neon,raze,9,6,0.1667,0.8704,0.1852,1.034,0.4523,weak_signal
FRACTURE,neon,veto,8,6,0.1481,0.8704,0.1667,1.021,0.4264,weak_signal
FRACTURE,brimstone,raze,9,7,0.1667,0.8889,0.1852,1.012,0.4523,weak_signal
FRACTURE,skye,waylay,11,6,0.2037,0.3889,0.537,0.975,0.5,weak_signal
FRACTURE,cypher,skye,13,8,0.2407,0.6481,0.3889,0.955,0.5436,weak_signal
FRACTURE,cypher,waylay,17,9,0.3148,0.6481,0.537,0.905,0.6216,common_core_pair
FRACTURE,neon,skye,16,12,0.2963,0.8704,0.3889,0.875,0.603,weak_signal
FRACTURE,brimstone,veto,7,5,0.1296,0.8889,0.1667,0.875,0.3989,weak_signal
FRACTURE,brimstone,skye,16,11,0.2963,0.8889,0.3889,0.857,0.603,weak_signal
FRACTURE,cypher,tejo,12,10,0.2222,0.6481,0.4074,0.842,0.5222,common_core_pair
FRACTURE,breach,brimstone,17,16,0.3148,0.4259,0.8889,0.832,0.6216,common_core_pair
FRACTURE,brimstone,cypher,24,18,0.4444,0.8889,0.6481,0.771,0.7385,common_core_pair
FRACTURE,cypher,raze,5,4,0.0926,0.6481,0.1852,0.771,0.3371,weak_signal
FRACTURE,brimstone,tejo,15,14,0.2778,0.8889,0.4074,0.767,0.5839,common_core_pair
FRACTURE,tejo,waylay,9,5,0.1667,0.4074,0.537,0.762,0.4523,common_core_pair
FRACTURE,cypher,neon,23,18,0.4259,0.6481,0.8704,0.755,0.723,common_core_pair
FRACTURE,breach,cypher,11,9,0.2037,0.4259,0.6481,0.738,0.5,common_core_pair
FRACTURE,brimstone,waylay,19,11,0.3519,0.8889,0.537,0.737,0.6571,common_core_pair
FRACTURE,neon,tejo,14,13,0.2593,0.8704,0.4074,0.731,0.5641,common_core_pair
FRACTURE,breach,neon,14,14,0.2593,0.4259,0.8704,0.699,0.5641,common_core_pair
FRACTURE,astra,neon,3,2,0.0556,0.0926,0.8704,0.689,0.2611,weak_signal
FRACTURE,fade,neon,4,3,0.0741,0.1296,0.8704,0.657,0.3015,weak_signal
FRACTURE,breach,waylay,8,5,0.1481,0.4259,0.537,0.648,0.4264,common_core_pair
FRACTURE,brimstone,neon,27,25,0.5,0.8889,0.8704,0.646,0.7833,common_core_pair
FRACTURE,neon,waylay,16,11,0.2963,0.8704,0.537,0.634,0.603,common_core_pair
FRACTURE,brimstone,fade,3,2,0.0556,0.8889,0.1296,0.482,0.2611,weak_signal
FRACTURE,skye,tejo,3,4,0.0556,0.3889,0.4074,0.351,0.2611,weak_signal
HAVEN,astra,chamber,5,5,0.0641,0.0641,0.1795,5.571,0.3371,high_lift_low_sample
HAVEN,deadlock,skye,4,3,0.0513,0.0513,0.1795,5.569,0.3015,high_lift_low_sample
HAVEN,deadlock,waylay,4,3,0.0513,0.0513,0.2179,4.588,0.3015,high_lift_low_sample
HAVEN,skye,waylay,8,5,0.1026,0.1795,0.2179,2.622,0.4264,map_pair
HAVEN,killjoy,viper,14,11,0.1795,0.2564,0.2692,2.6,0.5641,map_pair
HAVEN,astra,phoenix,5,5,0.0641,0.0641,0.3846,2.6,0.3371,high_lift_low_sample
HAVEN,chamber,fade,5,3,0.0641,0.1795,0.1538,2.322,0.3371,high_lift_low_sample
HAVEN,fade,phoenix,10,6,0.1282,0.1538,0.3846,2.167,0.4767,map_pair
HAVEN,cypher,deadlock,4,3,0.0513,0.5128,0.0513,1.949,0.3015,map_pair
HAVEN,chamber,phoenix,9,9,0.1154,0.1795,0.3846,1.671,0.4523,map_pair
HAVEN,cypher,waylay,14,11,0.1795,0.5128,0.2179,1.606,0.5641,map_pair
HAVEN,breach,sova,3,2,0.0385,0.0385,0.6667,1.498,0.2611,weak_signal
HAVEN,cypher,jett,6,5,0.0769,0.5128,0.1154,1.3,0.3693,map_pair
HAVEN,sova,viper,18,13,0.2308,0.6667,0.2692,1.286,0.6396,weak_signal
HAVEN,killjoy,sova,16,13,0.2051,0.2564,0.6667,1.2,0.603,weak_signal
HAVEN,chamber,skye,3,2,0.0385,0.1795,0.1795,1.194,0.2611,weak_signal
HAVEN,cypher,skye,8,6,0.1026,0.5128,0.1795,1.114,0.4264,weak_signal
HAVEN,astra,neon,5,5,0.0641,0.0641,0.8974,1.114,0.3371,weak_signal
HAVEN,jett,omen,9,8,0.1154,0.1154,0.9359,1.068,0.4523,weak_signal
HAVEN,deadlock,omen,4,3,0.0513,0.0513,0.9359,1.068,0.3015,weak_signal
HAVEN,breach,omen,3,2,0.0385,0.0385,0.9359,1.067,0.2611,weak_signal
HAVEN,neon,viper,19,14,0.2436,0.8974,0.2692,1.008,0.6571,weak_signal
HAVEN,killjoy,neon,18,14,0.2308,0.2564,0.8974,1.003,0.6396,weak_signal
HAVEN,omen,viper,19,14,0.2436,0.9359,0.2692,0.967,0.6571,weak_signal
HAVEN,killjoy,omen,18,14,0.2308,0.2564,0.9359,0.962,0.6396,weak_signal
HAVEN,chamber,neon,12,11,0.1538,0.1795,0.8974,0.955,0.5222,weak_signal
HAVEN,omen,waylay,15,12,0.1923,0.9359,0.2179,0.943,0.5839,weak_signal
HAVEN,astra,sova,3,3,0.0385,0.0641,0.6667,0.9,0.2611,weak_signal
HAVEN,fade,omen,10,6,0.1282,0.1538,0.9359,0.891,0.4767,weak_signal
HAVEN,cypher,sova,23,17,0.2949,0.5128,0.6667,0.862,0.723,common_core_pair
HAVEN,neon,phoenix,23,19,0.2949,0.8974,0.3846,0.854,0.723,weak_signal
HAVEN,omen,skye,11,8,0.141,0.9359,0.1795,0.839,0.5,weak_signal
HAVEN,fade,neon,9,6,0.1154,0.1538,0.8974,0.836,0.4523,weak_signal
HAVEN,jett,sova,5,4,0.0641,0.1154,0.6667,0.833,0.3371,weak_signal
HAVEN,omen,vyse,3,3,0.0385,0.9359,0.0513,0.801,0.2611,weak_signal
HAVEN,neon,skye,10,6,0.1282,0.8974,0.1795,0.796,0.4767,weak_signal
HAVEN,cypher,phoenix,12,10,0.1538,0.5128,0.3846,0.78,0.5222,weak_signal
HAVEN,cypher,omen,29,24,0.3718,0.5128,0.9359,0.775,0.8118,common_core_pair
HAVEN,phoenix,sova,15,12,0.1923,0.3846,0.6667,0.75,0.5839,weak_signal
HAVEN,phoenix,skye,4,3,0.0513,0.3846,0.1795,0.743,0.3015,weak_signal
HAVEN,neon,sova,34,29,0.4359,0.8974,0.6667,0.729,0.879,common_core_pair
HAVEN,cypher,neon,26,21,0.3333,0.5128,0.8974,0.724,0.7687,common_core_pair
HAVEN,neon,waylay,11,9,0.141,0.8974,0.2179,0.721,0.5,weak_signal
HAVEN,sova,waylay,8,7,0.1026,0.6667,0.2179,0.706,0.4264,weak_signal
HAVEN,omen,sova,33,28,0.4231,0.9359,0.6667,0.678,0.866,common_core_pair
HAVEN,omen,phoenix,19,15,0.2436,0.9359,0.3846,0.677,0.6571,weak_signal
HAVEN,cypher,fade,4,2,0.0513,0.5128,0.1538,0.65,0.3015,weak_signal
HAVEN,chamber,sova,6,6,0.0769,0.1795,0.6667,0.643,0.3693,weak_signal
HAVEN,jett,neon,5,5,0.0641,0.1154,0.8974,0.619,0.3371,weak_signal
HAVEN,neon,omen,38,34,0.4872,0.8974,0.9359,0.58,0.9293,common_core_pair
HAVEN,chamber,omen,7,6,0.0897,0.1795,0.9359,0.534,0.3989,weak_signal
LOTUS,cypher,phoenix,5,2,0.0556,0.1667,0.0667,4.997,0.3371,high_lift_low_sample
LOTUS,skye,waylay,8,2,0.0889,0.1222,0.2889,2.518,0.4264,weak_signal
LOTUS,raze,veto,5,3,0.0556,0.4,0.0778,1.785,0.3371,map_pair
LOTUS,killjoy,viper,13,7,0.1444,0.1444,0.5778,1.731,0.5436,map_pair
LOTUS,cypher,waylay,7,2,0.0778,0.1667,0.2889,1.615,0.3989,weak_signal
LOTUS,killjoy,waylay,6,3,0.0667,0.1444,0.2889,1.598,0.3693,map_pair
LOTUS,veto,viper,5,3,0.0556,0.0778,0.5778,1.236,0.3371,weak_signal
LOTUS,neon,skye,10,4,0.1111,0.7778,0.1222,1.169,0.4767,weak_signal
LOTUS,fade,killjoy,13,7,0.1444,0.8778,0.1444,1.14,0.5436,weak_signal
LOTUS,fade,phoenix,6,3,0.0667,0.8778,0.0667,1.139,0.3693,weak_signal
LOTUS,chamber,neon,6,5,0.0667,0.0778,0.7778,1.102,0.3693,weak_signal
LOTUS,raze,vyse,12,8,0.1333,0.4,0.3222,1.035,0.5222,weak_signal
LOTUS,killjoy,omen,13,7,0.1444,0.1444,1.0,1.0,0.5436,weak_signal
LOTUS,omen,veto,7,5,0.0778,1.0,0.0778,1.0,0.3989,weak_signal
LOTUS,omen,phoenix,6,3,0.0667,1.0,0.0667,1.0,0.3693,weak_signal
LOTUS,viper,waylay,15,8,0.1667,0.5778,0.2889,0.998,0.5839,weak_signal
LOTUS,chamber,viper,4,3,0.0444,0.0778,0.5778,0.989,0.3015,weak_signal
LOTUS,chamber,fade,6,4,0.0667,0.0778,0.8778,0.976,0.3693,weak_signal
LOTUS,fade,veto,6,4,0.0667,0.8778,0.0778,0.976,0.3693,weak_signal
LOTUS,fade,raze,30,19,0.3333,0.8778,0.4,0.949,0.8257,common_core_pair
LOTUS,cypher,neon,11,5,0.1222,0.1667,0.7778,0.943,0.5,weak_signal
LOTUS,cypher,omen,14,6,0.1556,0.1667,1.0,0.933,0.5641,weak_signal
LOTUS,neon,vyse,21,20,0.2333,0.7778,0.3222,0.931,0.6908,weak_signal
LOTUS,cypher,fade,12,5,0.1333,0.1667,0.8778,0.911,0.5222,weak_signal
LOTUS,omen,skye,10,4,0.1111,1.0,0.1222,0.909,0.4767,weak_signal
LOTUS,fade,vyse,22,21,0.2444,0.8778,0.3222,0.864,0.7071,weak_signal
LOTUS,omen,raze,31,19,0.3444,1.0,0.4,0.861,0.8394,common_core_pair
LOTUS,chamber,omen,6,5,0.0667,0.0778,1.0,0.857,0.3693,weak_signal
LOTUS,cypher,raze,5,2,0.0556,0.1667,0.4,0.833,0.3371,weak_signal
LOTUS,neon,waylay,16,9,0.1778,0.7778,0.2889,0.791,0.603,weak_signal
LOTUS,omen,waylay,20,11,0.2222,1.0,0.2889,0.769,0.6742,weak_signal
LOTUS,killjoy,raze,4,2,0.0444,0.1444,0.4,0.769,0.3015,weak_signal
LOTUS,fade,viper,35,27,0.3889,0.8778,0.5778,0.767,0.8919,common_core_pair
LOTUS,neon,viper,31,22,0.3444,0.7778,0.5778,0.766,0.8394,common_core_pair
LOTUS,omen,vyse,22,21,0.2444,1.0,0.3222,0.759,0.7071,weak_signal
LOTUS,omen,viper,38,28,0.4222,1.0,0.5778,0.731,0.9293,common_core_pair
LOTUS,raze,viper,15,8,0.1667,0.4,0.5778,0.721,0.5839,common_core_pair
LOTUS,fade,waylay,16,9,0.1778,0.8778,0.2889,0.701,0.603,weak_signal
LOTUS,neon,raze,18,12,0.2,0.7778,0.4,0.643,0.6396,common_core_pair
LOTUS,neon,omen,42,37,0.4667,0.7778,1.0,0.6,0.977,common_core_pair
LOTUS,fade,neon,35,35,0.3889,0.8778,0.7778,0.57,0.8919,common_core_pair
LOTUS,fade,omen,44,41,0.4889,0.8778,1.0,0.557,1.0,common_core_pair
LOTUS,neon,veto,3,3,0.0333,0.7778,0.0778,0.551,0.2611,weak_signal
LOTUS,viper,vyse,8,8,0.0889,0.5778,0.3222,0.477,0.4264,weak_signal
LOTUS,killjoy,neon,3,3,0.0333,0.1444,0.7778,0.297,0.2611,weak_signal
PEARL,kayo,sova,5,3,0.0758,0.0909,0.2879,2.895,0.3371,high_lift_low_sample
PEARL,chamber,kayo,5,3,0.0758,0.3636,0.0909,2.292,0.3371,high_lift_low_sample
PEARL,chamber,skye,8,5,0.1212,0.3636,0.1515,2.2,0.4264,map_pair
PEARL,tejo,waylay,10,7,0.1515,0.2727,0.303,1.834,0.4767,map_pair
PEARL,cypher,phoenix,7,4,0.1061,0.1515,0.3939,1.777,0.3989,map_pair
PEARL,cypher,fade,9,5,0.1364,0.1515,0.5152,1.747,0.4523,map_pair
PEARL,sova,tejo,9,5,0.1364,0.2879,0.2727,1.737,0.4523,map_pair
PEARL,sova,waylay,9,7,0.1364,0.2879,0.303,1.563,0.4523,map_pair
PEARL,fade,phoenix,20,14,0.303,0.5152,0.3939,1.493,0.6742,map_pair
PEARL,killjoy,waylay,12,8,0.1818,0.4242,0.303,1.415,0.5222,map_pair
PEARL,chamber,sova,9,6,0.1364,0.3636,0.2879,1.303,0.4523,map_pair
PEARL,neon,skye,10,6,0.1515,0.803,0.1515,1.245,0.4767,weak_signal
PEARL,harbor,neon,3,2,0.0455,0.0455,0.803,1.244,0.2611,weak_signal
PEARL,killjoy,tejo,9,4,0.1364,0.4242,0.2727,1.179,0.4523,weak_signal
PEARL,neon,phoenix,22,16,0.3333,0.803,0.3939,1.054,0.7071,weak_signal
PEARL,kayo,neon,5,3,0.0758,0.0909,0.803,1.038,0.3371,weak_signal
PEARL,astra,tejo,18,10,0.2727,1.0,0.2727,1.0,0.6396,weak_signal
PEARL,astra,skye,10,6,0.1515,1.0,0.1515,1.0,0.4767,weak_signal
PEARL,astra,kayo,6,4,0.0909,1.0,0.0909,1.0,0.3693,weak_signal
PEARL,astra,vyse,5,5,0.0758,1.0,0.0758,0.999,0.3371,weak_signal
PEARL,astra,harbor,3,2,0.0455,1.0,0.0455,0.999,0.2611,weak_signal
PEARL,astra,jett,3,3,0.0455,1.0,0.0455,0.999,0.2611,weak_signal
PEARL,astra,veto,3,3,0.0455,1.0,0.0455,0.999,0.2611,weak_signal
PEARL,cypher,waylay,3,2,0.0455,0.1515,0.303,0.99,0.2611,weak_signal
PEARL,chamber,neon,19,17,0.2879,0.3636,0.803,0.986,0.6571,weak_signal
PEARL,killjoy,skye,4,2,0.0606,0.4242,0.1515,0.943,0.3015,weak_signal
PEARL,killjoy,phoenix,10,6,0.1515,0.4242,0.3939,0.907,0.4767,weak_signal
PEARL,astra,waylay,18,14,0.2727,1.0,0.303,0.9,0.6396,weak_signal
PEARL,astra,cypher,9,6,0.1364,1.0,0.1515,0.9,0.4523,weak_signal
PEARL,astra,sova,17,12,0.2576,1.0,0.2879,0.895,0.6216,weak_signal
PEARL,astra,phoenix,23,17,0.3485,1.0,0.3939,0.885,0.723,weak_signal
PEARL,fade,waylay,9,6,0.1364,0.5152,0.303,0.874,0.4523,weak_signal
PEARL,cypher,neon,7,5,0.1061,0.1515,0.803,0.872,0.3989,weak_signal
PEARL,killjoy,sova,7,4,0.1061,0.4242,0.2879,0.868,0.3989,weak_signal
PEARL,chamber,phoenix,8,8,0.1212,0.3636,0.3939,0.846,0.4264,weak_signal
PEARL,fade,neon,23,17,0.3485,0.5152,0.803,0.842,0.723,common_core_pair
PEARL,astra,chamber,19,17,0.2879,1.0,0.3636,0.792,0.6571,weak_signal
PEARL,fade,killjoy,11,9,0.1667,0.5152,0.4242,0.763,0.5,common_core_pair
PEARL,killjoy,neon,17,13,0.2576,0.4242,0.803,0.756,0.6216,common_core_pair
PEARL,neon,vyse,3,3,0.0455,0.803,0.0758,0.747,0.2611,weak_signal
PEARL,astra,fade,25,21,0.3788,1.0,0.5152,0.735,0.7538,common_core_pair
PEARL,neon,sova,11,10,0.1667,0.803,0.2879,0.721,0.5,weak_signal
PEARL,astra,killjoy,20,16,0.303,1.0,0.4242,0.714,0.6742,common_core_pair
PEARL,astra,neon,33,33,0.5,1.0,0.803,0.623,0.866,common_core_pair
PEARL,chamber,tejo,4,3,0.0606,0.3636,0.2727,0.611,0.3015,weak_signal
PEARL,chamber,fade,7,7,0.1061,0.3636,0.5152,0.566,0.3989,weak_signal
PEARL,neon,tejo,8,5,0.1212,0.803,0.2727,0.554,0.4264,weak_signal
PEARL,neon,waylay,8,6,0.1212,0.803,0.303,0.498,0.4264,weak_signal
PEARL,fade,tejo,4,3,0.0606,0.5152,0.2727,0.431,0.3015,weak_signal
PEARL,chamber,killjoy,4,2,0.0606,0.3636,0.4242,0.393,0.3015,weak_signal
SPLIT,jett,raze,5,3,0.0735,0.0882,0.3971,2.099,0.3371,high_lift_low_sample
SPLIT,jett,skye,6,4,0.0882,0.0882,0.5588,1.79,0.3693,map_pair
SPLIT,deadlock,skye,3,3,0.0441,0.0441,0.5588,1.79,0.2611,map_pair
SPLIT,fade,vyse,10,10,0.1471,0.4412,0.1912,1.743,0.4767,map_pair
SPLIT,astra,raze,11,7,0.1618,0.25,0.3971,1.629,0.5,map_pair
SPLIT,cypher,skye,5,4,0.0735,0.0882,0.5588,1.492,0.3371,map_pair
SPLIT,fade,raze,17,12,0.25,0.4412,0.3971,1.427,0.6216,map_pair
SPLIT,astra,fade,10,6,0.1471,0.25,0.4412,1.333,0.4767,map_pair
SPLIT,astra,vyse,4,3,0.0588,0.25,0.1912,1.231,0.3015,weak_signal
SPLIT,raze,vyse,6,5,0.0882,0.3971,0.1912,1.162,0.3693,weak_signal
SPLIT,cypher,omen,5,5,0.0735,0.0882,0.75,1.112,0.3371,weak_signal
SPLIT,jett,omen,5,3,0.0735,0.0882,0.75,1.112,0.3371,weak_signal
SPLIT,cypher,neon,5,4,0.0735,0.0882,0.7794,1.07,0.3371,weak_signal
SPLIT,skye,waylay,16,13,0.2353,0.5588,0.4118,1.023,0.603,common_core_pair
SPLIT,jett,viper,5,3,0.0735,0.0882,0.8824,0.945,0.3371,weak_signal
SPLIT,skye,viper,28,20,0.4118,0.5588,0.8824,0.835,0.7977,common_core_pair
SPLIT,fade,neon,19,16,0.2794,0.4412,0.7794,0.813,0.6571,common_core_pair
SPLIT,neon,skye,24,18,0.3529,0.7794,0.5588,0.81,0.7385,common_core_pair
SPLIT,omen,skye,23,20,0.3382,0.75,0.5588,0.807,0.723,common_core_pair
SPLIT,fade,viper,21,16,0.3088,0.4412,0.8824,0.793,0.6908,common_core_pair
SPLIT,neon,vyse,8,9,0.1176,0.7794,0.1912,0.789,0.4264,weak_signal
SPLIT,neon,waylay,17,13,0.25,0.7794,0.4118,0.779,0.6216,common_core_pair
SPLIT,fade,omen,17,14,0.25,0.4412,0.75,0.756,0.6216,common_core_pair
SPLIT,cypher,viper,4,3,0.0588,0.0882,0.8824,0.756,0.3015,weak_signal
SPLIT,raze,viper,18,15,0.2647,0.3971,0.8824,0.755,0.6396,weak_signal
SPLIT,astra,neon,10,9,0.1471,0.25,0.7794,0.755,0.4767,weak_signal
SPLIT,omen,vyse,7,8,0.1029,0.75,0.1912,0.718,0.3989,weak_signal
SPLIT,omen,waylay,15,13,0.2206,0.75,0.4118,0.714,0.5839,common_core_pair
SPLIT,neon,viper,33,29,0.4853,0.7794,0.8824,0.706,0.866,common_core_pair
SPLIT,neon,omen,28,26,0.4118,0.7794,0.75,0.704,0.7977,common_core_pair
SPLIT,omen,raze,14,12,0.2059,0.75,0.3971,0.691,0.5641,weak_signal
SPLIT,viper,waylay,17,13,0.25,0.8824,0.4118,0.688,0.6216,common_core_pair
SPLIT,omen,viper,30,30,0.4412,0.75,0.8824,0.667,0.8257,common_core_pair
SPLIT,astra,skye,6,4,0.0882,0.25,0.5588,0.632,0.3693,weak_signal
SPLIT,viper,vyse,7,8,0.1029,0.8824,0.1912,0.61,0.3989,weak_signal
SPLIT,astra,viper,9,6,0.1324,0.25,0.8824,0.6,0.4523,weak_signal
SPLIT,raze,skye,9,6,0.1324,0.3971,0.5588,0.596,0.4523,weak_signal
SPLIT,neon,raze,10,9,0.1471,0.7794,0.3971,0.475,0.4767,weak_signal
SPLIT,astra,waylay,3,2,0.0441,0.25,0.4118,0.429,0.2611,weak_signal
SPLIT,fade,waylay,5,3,0.0735,0.4412,0.4118,0.405,0.3371,weak_signal
